Epoch 0: Train=0.1176, Val=0.0424
Epoch 1: Train=0.0373, Val=0.0323
Epoch 2: Train=0.0316, Val=0.0290
Epoch 3: Train=0.0284, Val=0.0272
Epoch 4: Train=0.0269, Val=0.0254
Epoch 5: Train=0.0255, Val=0.0233
Epoch 6: Train=0.0249, Val=0.0245
Epoch 7: Train=0.0238, Val=0.0247
Epoch 8: Train=0.0233, Val=0.0249
Epoch 9: Train=0.0228, Val=0.0219
Epoch 10: Train=0.0225, Val=0.0242
Epoch 11: Train=0.0220, Val=0.0367
Epoch 12: Train=0.0219, Val=0.0239
Epoch 13: Train=0.0217, Val=0.0211
Epoch 14: Train=0.0215, Val=0.0572
Epoch 15: Train=0.0215, Val=0.0208
Epoch 16: Train=0.0211, Val=0.0230
Epoch 17: Train=0.0210, Val=0.0209
Epoch 18: Train=0.0210, Val=0.0214
Epoch 19: Train=0.0209, Val=0.0307
Epoch 20: Train=0.0205, Val=162.1693
Epoch 21: Train=0.0205, Val=0.0214
Epoch 22: Train=0.0203, Val=0.0312
Epoch 23: Train=0.0205, Val=0.0209
Epoch 24: Train=0.0202, Val=0.0261
Epoch 25: Train=0.0203, Val=0.1184
Epoch 26: Train=0.0202, Val=0.0412
Epoch 27: Train=0.0201, Val=0.0651
Epoch 28: Train=0.0202, Val=4.4983
Epoch 29: Train=0.0200, Val=0.0410
Epoch 30: Train=0.0200, Val=0.0301
Epoch 31: Train=0.0199, Val=0.0261
Epoch 32: Train=0.0200, Val=0.0504
Epoch 33: Train=0.0198, Val=0.0201
Epoch 34: Train=0.0200, Val=0.0203
Epoch 35: Train=0.0196, Val=0.0191
Epoch 36: Train=0.0199, Val=0.0201
Epoch 37: Train=0.0197, Val=0.0200
Epoch 38: Train=0.0198, Val=0.0199
Epoch 39: Train=0.0196, Val=0.0196
Epoch 40: Train=0.0197, Val=0.0194
Epoch 41: Train=0.0196, Val=0.0214
Epoch 42: Train=0.0197, Val=0.0219
Epoch 43: Train=0.0195, Val=0.0206
Epoch 44: Train=0.0196, Val=0.0204
Epoch 45: Train=0.0195, Val=0.0195
Epoch 46: Train=0.0194, Val=0.0200
Epoch 47: Train=0.0193, Val=0.0195
Epoch 48: Train=0.0193, Val=0.0198
Epoch 49: Train=0.0192, Val=0.0189
