Epoch 0: Train=6594.1260, Recon=6508.1139, KL=86.0121, Val=6418.0536
Epoch 1: Train=6361.9271, Recon=6264.1771, KL=97.7501, Val=6370.0726
Epoch 2: Train=6336.5654, Recon=6234.6264, KL=101.9390, Val=6357.4197
Epoch 3: Train=6324.4464, Recon=6219.8043, KL=104.6421, Val=6349.9598
Epoch 4: Train=6315.5762, Recon=6208.0824, KL=107.4938, Val=6337.6602
Epoch 5: Train=6308.2400, Recon=6198.5391, KL=109.7008, Val=6335.6940
Epoch 6: Train=6303.5485, Recon=6192.2886, KL=111.2599, Val=6330.0218
Epoch 7: Train=6300.5394, Recon=6188.1567, KL=112.3827, Val=6329.1083
Epoch 8: Train=6297.7734, Recon=6184.5504, KL=113.2230, Val=6324.1738
Epoch 9: Train=6295.8600, Recon=6181.8812, KL=113.9788, Val=6329.6275
Epoch 10: Train=6293.9806, Recon=6179.4813, KL=114.4993, Val=6328.5198
Epoch 11: Train=6292.8182, Recon=6177.8319, KL=114.9864, Val=6321.3222
Epoch 12: Train=6291.2474, Recon=6175.9369, KL=115.3106, Val=6319.9637
Epoch 13: Train=6290.6002, Recon=6174.9439, KL=115.6563, Val=6319.1043
Epoch 14: Train=6289.2285, Recon=6173.2860, KL=115.9425, Val=6318.3886
Epoch 15: Train=6288.4474, Recon=6172.3054, KL=116.1420, Val=6316.5455
Epoch 16: Train=6287.8666, Recon=6171.5427, KL=116.3239, Val=6316.8848
Epoch 17: Train=6287.0418, Recon=6170.6150, KL=116.4268, Val=6317.0780
Epoch 18: Train=6286.4864, Recon=6169.9375, KL=116.5489, Val=6317.7839
Epoch 19: Train=6285.9600, Recon=6169.3854, KL=116.5746, Val=6315.2970
Epoch 20: Train=6285.3024, Recon=6168.6288, KL=116.6737, Val=6316.0048
Epoch 21: Train=6285.1179, Recon=6168.4587, KL=116.6591, Val=6314.2689
Epoch 22: Train=6284.4494, Recon=6167.8117, KL=116.6377, Val=6314.0432
Epoch 23: Train=6284.1553, Recon=6167.4530, KL=116.7022, Val=6315.0095
Epoch 24: Train=6283.7279, Recon=6167.0740, KL=116.6538, Val=6313.3948
Epoch 25: Train=6283.2757, Recon=6166.5497, KL=116.7260, Val=6312.1638
Epoch 26: Train=6283.2296, Recon=6166.5311, KL=116.6985, Val=6313.3593
Epoch 27: Train=6282.7910, Recon=6166.1290, KL=116.6620, Val=6313.1527
Epoch 28: Train=6282.3894, Recon=6165.6918, KL=116.6976, Val=6312.7254
Epoch 29: Train=6282.2147, Recon=6165.5313, KL=116.6834, Val=6312.3641
Epoch 30: Train=6282.1546, Recon=6165.4836, KL=116.6710, Val=6314.3915
Epoch 31: Train=6281.7195, Recon=6165.0478, KL=116.6717, Val=6313.6299
Epoch 32: Train=6281.5787, Recon=6164.9242, KL=116.6545, Val=6310.7751
Epoch 33: Train=6281.4351, Recon=6164.8133, KL=116.6218, Val=6312.3660
Epoch 34: Train=6281.1072, Recon=6164.4902, KL=116.6170, Val=6311.5388
Epoch 35: Train=6281.1689, Recon=6164.5433, KL=116.6256, Val=6310.9625
Epoch 36: Train=6280.5808, Recon=6163.9895, KL=116.5913, Val=6311.4438
Epoch 37: Train=6280.6220, Recon=6163.9708, KL=116.6512, Val=6315.9046
Epoch 38: Train=6280.5098, Recon=6163.9445, KL=116.5653, Val=6312.1386
Epoch 39: Train=6280.1931, Recon=6163.5861, KL=116.6070, Val=6311.3388
Epoch 40: Train=6280.1282, Recon=6163.5403, KL=116.5880, Val=6310.8391
Epoch 41: Train=6280.0058, Recon=6163.4601, KL=116.5457, Val=6310.0543
Epoch 42: Train=6279.8995, Recon=6163.3313, KL=116.5682, Val=6312.2179
Epoch 43: Train=6279.6170, Recon=6163.0264, KL=116.5906, Val=6309.9339
Epoch 44: Train=6279.6568, Recon=6163.0657, KL=116.5912, Val=6316.5399
Epoch 45: Train=6279.4925, Recon=6162.9615, KL=116.5310, Val=6310.2966
Epoch 46: Train=6279.3110, Recon=6162.7625, KL=116.5485, Val=6309.2423
Epoch 47: Train=6279.1671, Recon=6162.5865, KL=116.5806, Val=6309.6142
Epoch 48: Train=6279.2653, Recon=6162.7297, KL=116.5356, Val=6310.8192
Epoch 49: Train=6279.0047, Recon=6162.4259, KL=116.5788, Val=6309.5551
